,budget,id,popularity,production_companies,revenue,runtime,spoken_languages,status,title,vote_average,vote_count,genres_list,Countries,release_year,language
0,237000000,19995,150.437577,4,2787965087,162.0,"['English', 'Espa']",1,Avatar,7.2,11800,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",2,2009,en
1,300000000,285,139.082615,3,961000000,169.0,['English'],1,Pirates of the Caribbean: At World's End,6.9,4500,"['Adventure', 'Fantasy', 'Action']",1,2007,en
2,245000000,206647,107.376788,2,880674609,148.0,"['Fran', 'English', 'Espa', 'Italiano', 'Deutsch']",1,Spectre,6.3,4466,"['Action', 'Adventure', 'Crime']",2,2015,en
3,250000000,49026,112.31295,3,1084939099,165.0,['English'],1,The Dark Knight Rises,7.6,9106,"['Action', 'Crime', 'Drama', 'Thriller']",1,2012,en
4,260000000,49529,43.926995,1,284139100,132.0,['English'],1,John Carter,6.1,2124,"['Action', 'Adventure', 'Science Fiction']",1,2012,en
5,258000000,559,115.699814,3,890871626,139.0,"['English', 'Fran']",1,Spider-Man 3,5.9,3576,"['Fantasy', 'Action', 'Adventure']",1,2007,en
6,260000000,38757,48.681969,2,591794936,100.0,['English'],1,Tangled,7.4,3330,"['Animation', 'Family']",1,2010,en
7,280000000,99861,134.279229,3,1405403694,141.0,['English'],1,Avengers: Age of Ultron,7.3,6767,"['Action', 'Adventure', 'Science Fiction']",1,2015,en
8,250000000,767,98.885637,1,933959197,153.0,['English'],1,Harry Potter and the Half-Blood Prince,7.4,5293,"['Adventure', 'Fantasy', 'Family']",2,2009,en
9,250000000,209112,155.790452,3,873260194,151.0,['English'],1,Batman v Superman: Dawn of Justice,5.7,7004,"['Action', 'Adventure', 'Fantasy']",1,2016,en
10,270000000,1452,57.925623,3,391081192,154.0,"['English', 'Fran', 'Deutsch']",1,Superman Returns,5.4,1400,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",1,2006,en
11,200000000,10764,107.928811,1,586090727,106.0,"['English', 'Espa', 'Italiano', 'Fran', 'Deutsch']",1,Quantum of Solace,6.1,2965,"['Adventure', 'Action', 'Thriller', 'Crime']",2,2008,en
12,200000000,58,145.847379,3,1065659812,151.0,"['English', 'T']",1,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,"['Adventure', 'Fantasy', 'Action']",4,2006,en
13,255000000,57201,49.046956,5,89289910,149.0,['English'],1,The Lone Ranger,5.9,2311,"['Action', 'Adventure', 'Western']",1,2013,en
14,225000000,49521,99.398009,4,662845518,143.0,['English'],1,Man of Steel,6.5,6359,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",2,2013,en
15,225000000,2454,53.978602,7,419651413,150.0,['English'],1,The Chronicles of Narnia: Prince Caspian,6.3,1630,"['Adventure', 'Family', 'Fantasy']",4,2008,en
16,220000000,24428,144.448633,2,1519557910,143.0,['English'],1,The Avengers,7.4,11776,"['Science Fiction', 'Action', 'Adventure']",1,2012,en
17,380000000,1865,135.413856,2,1045713802,136.0,"['English', 'Espa']",1,Pirates of the Caribbean: On Stranger Tides,6.4,4948,"['Adventure', 'Action', 'Fantasy']",1,2011,en
18,225000000,41154,52.035179,4,624026776,106.0,['English'],1,Men in Black 3,6.2,4160,"['Action', 'Comedy', 'Science Fiction']",1,2012,en
19,250000000,122917,120.965743,2,956019788,144.0,['English'],1,The Hobbit: The Battle of the Five Armies,7.1,4760,"['Action', 'Adventure', 'Fantasy']",2,2014,en
20,215000000,1930,89.866276,3,752215857,136.0,['English'],1,The Amazing Spider-Man,6.5,6586,"['Action', 'Adventure', 'Fantasy']",1,2012,en
21,200000000,20662,37.668301,4,310669540,140.0,['English'],1,Robin Hood,6.2,1398,"['Action', 'Adventure']",2,2010,en
22,250000000,57158,94.370564,2,958400000,161.0,['English'],1,The Hobbit: The Desolation of Smaug,7.6,4524,"['Adventure', 'Fantasy']",2,2013,en
23,180000000,2268,42.990906,4,372234864,113.0,"['English', 'P', 'Fran']",1,The Golden Compass,5.8,1303,"['Adventure', 'Fantasy']",2,2007,en
24,207000000,254,61.22601,4,550000000,187.0,['English'],1,King Kong,6.6,2337,"['Adventure', 'Drama', 'Action']",3,2005,en
25,200000000,597,100.025899,3,1845034188,194.0,"['English', 'Fran', 'Deutsch', 'svenska', 'Italiano', 'P']",1,Titanic,7.5,7562,"['Drama', 'Romance', 'Thriller']",1,1997,en
26,250000000,271110,198.372395,4,1153304495,147.0,"['Rom', 'English', 'Deutsch', 'P']",1,Captain America: Civil War,7.1,7241,"['Adventure', 'Action', 'Science Fiction']",1,2016,en
27,209000000,44833,64.928382,3,303025485,131.0,['English'],1,Battleship,5.5,2114,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",1,2012,en
28,150000000,135397,418.708552,5,1513528810,124.0,['English'],1,Jurassic World,6.5,8662,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",1,2015,en
29,200000000,37724,93.004993,1,1108561013,143.0,['English'],1,Skyfall,6.9,7604,"['Action', 'Adventure', 'Thriller']",2,2012,en
30,200000000,558,35.149586,3,783766341,127.0,"['English', 'P']",1,Spider-Man 2,6.7,4321,"['Action', 'Adventure', 'Fantasy']",1,2004,en
31,200000000,68721,77.68208,1,1215439994,130.0,['English'],1,Iron Man 3,6.8,8806,"['Action', 'Adventure', 'Science Fiction']",2,2013,en
32,200000000,12155,78.530105,4,1025491110,108.0,['English'],1,Alice in Wonderland,6.4,4645,"['Family', 'Fantasy', 'Adventure']",1,2010,en
33,210000000,36668,3.857526,7,459359555,104.0,['English'],1,X-Men: The Last Stand,6.3,3525,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",3,2006,en
34,200000000,62211,89.186492,2,743559607,104.0,['English'],1,Monsters University,7.0,3528,"['Animation', 'Family']",1,2013,en
35,150000000,8373,21.939663,7,836297228,150.0,"['English', 'Espa']",1,Transformers: Revenge of the Fallen,6.0,3138,"['Science Fiction', 'Action', 'Adventure']",1,2009,en
36,210000000,91314,116.840296,8,1091405097,165.0,['English'],1,Transformers: Age of Extinction,5.8,3095,"['Science Fiction', 'Action', 'Adventure']",1,2014,en
37,200000000,68728,46.985445,2,491868548,130.0,['English'],1,Oz: The Great and Powerful,5.7,3530,"['Fantasy', 'Adventure', 'Family']",1,2013,en
38,200000000,102382,89.270217,4,705717432,142.0,['English'],1,The Amazing Spider-Man 2,6.5,4179,"['Action', 'Adventure', 'Fantasy']",1,2014,en
39,170000000,20526,73.79505,6,400062763,125.0,['English'],1,TRON: Legacy,6.3,2841,"['Adventure', 'Action', 'Science Fiction']",1,2010,en
40,200000000,49013,49.98659,2,559852396,106.0,"['English', 'Italiano', 'Fran']",1,Cars 2,5.8,2033,"['Animation', 'Family', 'Adventure', 'Comedy']",1,2011,en
41,200000000,44912,51.872839,2,219851172,114.0,['English'],1,Green Lantern,5.1,2487,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",1,2011,en
42,200000000,10193,59.995418,2,1066969703,103.0,"['English', 'Espa']",1,Toy Story 3,7.6,4597,"['Animation', 'Family', 'Comedy']",1,2010,en
43,200000000,534,71.862892,3,371353001,115.0,"['English', 'Italiano']",1,Terminator Salvation,5.9,2463,"['Action', 'Science Fiction', 'Thriller']",4,2009,en
44,190000000,168259,102.322217,6,1506249360,137.0,['English'],1,Furious 7,7.3,4176,['Action'],2,2015,en
45,200000000,72190,81.834855,6,531865000,116.0,['English'],1,World War Z,6.7,5560,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",2,2013,en
46,250000000,127585,118.078691,6,747862775,131.0,['English'],1,X-Men: Days of Future Past,7.5,6032,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",2,2014,en
47,190000000,54138,78.291018,3,467365246,132.0,['English'],1,Star Trek Into Darkness,7.4,4418,"['Action', 'Adventure', 'Science Fiction']",1,2013,en
48,195000000,81005,43.349855,5,197687603,114.0,['English'],1,Jack the Giant Slayer,5.5,2598,"['Action', 'Family', 'Fantasy']",1,2013,en
49,105000000,64682,61.196071,4,351040419,143.0,['English'],1,The Great Gatsby,7.3,3769,"['Drama', 'Romance']",2,2013,en
50,150000000,9543,62.169881,2,335154643,116.0,['English'],1,Prince of Persia: The Sands of Time,6.2,2317,"['Adventure', 'Fantasy', 'Action', 'Romance']",1,2010,en
51,180000000,68726,56.523205,2,407602906,131.0,['English'],1,Pacific Rim,6.7,4794,"['Action', 'Science Fiction', 'Adventure']",2,2013,en
52,195000000,38356,28.529607,4,1123746996,154.0,['English'],1,Transformers: Dark of the Moon,6.1,3299,"['Action', 'Science Fiction', 'Adventure']",1,2011,en
53,185000000,217,75.674458,2,786636033,122.0,"['English', 'Deutsch', 'P']",1,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,"['Adventure', 'Action']",1,2008,en
54,175000000,105864,51.692953,2,331926147,93.0,['English'],1,The Good Dinosaur,6.6,1736,"['Adventure', 'Animation', 'Family']",1,2015,en
55,185000000,62177,125.114374,2,538983207,93.0,['English'],1,Brave,6.7,4641,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",1,2012,en
56,185000000,188927,65.352913,7,343471816,122.0,['English'],1,Star Trek Beyond,6.6,2568,"['Action', 'Adventure', 'Science Fiction']",1,2016,en
57,180000000,10681,66.390712,3,521311860,98.0,['English'],1,WALL·E,7.8,6296,"['Animation', 'Family']",1,2008,en
58,140000000,5174,22.57178,1,258022233,91.0,"['Latin', 'English', 'Fran']",1,Rush Hour 3,6.1,783,"['Action', 'Comedy', 'Crime', 'Thriller']",1,2007,en
59,200000000,14161,45.274225,4,769653595,158.0,"['English', 'Fran', 'Italiano', 'Latin', 'Portugu', 'P']",1,2012,5.6,4903,"['Action', 'Adventure', 'Science Fiction']",2,2009,en
60,200000000,17979,39.744242,2,325233863,96.0,['English'],1,A Christmas Carol,6.6,1095,"['Animation', 'Drama']",1,2009,en
61,176000003,76757,85.36908,3,183987723,124.0,['English'],1,Jupiter Ascending,5.2,2768,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",1,2015,en
62,180000000,258489,42.741719,6,356743061,109.0,['English'],1,The Legend of Tarzan,5.5,2430,"['Action', 'Adventure']",3,2016,en
63,180000000,411,67.391328,2,748806957,143.0,"['English', 'Deutsch']",1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,"['Adventure', 'Family', 'Fantasy']",2,2005,en
64,178000000,246655,139.272042,5,543934787,144.0,['English'],1,X-Men: Apocalypse,6.4,4721,['Science Fiction'],1,2016,en
65,185000000,155,187.322927,4,1004558444,152.0,['English'],1,The Dark Knight,8.2,12002,"['Drama', 'Action', 'Crime', 'Thriller']",2,2008,en
66,175000000,14160,92.201962,1,735099082,96.0,['English'],1,Up,7.7,6870,"['Animation', 'Comedy', 'Family', 'Adventure']",1,2009,en
67,175000000,15512,36.167578,1,381509870,94.0,['English'],1,Monsters vs Aliens,6.0,1423,"['Animation', 'Family', 'Adventure', 'Science Fiction']",1,2009,en
68,140000000,1726,120.725053,1,585174222,126.0,['English'],1,Iron Man,7.4,8776,"['Action', 'Science Fiction', 'Adventure']",1,2008,en
69,170000000,44826,32.319043,3,185770160,126.0,['English'],1,Hugo,7.0,2141,"['Adventure', 'Drama', 'Family']",3,2011,en
70,170000000,8487,40.748915,2,222104681,106.0,['English'],1,Wild Wild West,5.1,1020,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",1,1999,en
71,145000000,1735,60.034162,3,401128639,112.0,['English'],1,The Mummy: Tomb of the Dragon Emperor,5.2,1387,"['Adventure', 'Action', 'Fantasy']",2,2008,en
72,175000000,297761,90.23792,4,745000000,123.0,['English'],1,Suicide Squad,5.9,7458,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",1,2016,en
73,175000000,2698,27.082182,7,173000000,96.0,['English'],1,Evan Almighty,5.3,1151,"['Fantasy', 'Comedy', 'Family']",1,2007,en
74,178000000,137113,79.456485,3,370541256,113.0,['English'],1,Edge of Tomorrow,7.6,4858,"['Action', 'Science Fiction']",2,2014,en
75,175000000,9804,44.640292,3,264218220,135.0,"['English', 'Deutsch', 'Espa']",1,Waterworld,5.9,992,"['Adventure', 'Action']",1,1995,en
76,175000000,14869,32.852443,5,302469017,118.0,"['English', 'Fran']",1,G.I. Joe: The Rise of Cobra,5.6,1962,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2,2009,en
77,175000000,150540,128.655964,2,857611174,94.0,['English'],1,Inside Out,8.0,6560,"['Drama', 'Comedy', 'Animation', 'Family']",1,2015,en
